year,month,동반유형명,언급건수
2024,11,기타가족,18036
2024,11,친구,10762
2024,11,부모님,7680
2024,11,회사동료,7362
2024,11,자녀,6974
2024,11,배우자,3926
2024,11,연인,3403
2024,11,싱글,3185
2024,11,학생,1909
