year,month,동반유형명,언급건수
2024,2,기타가족,20296
2024,2,친구,12729
2024,2,회사동료,11748
2024,2,부모님,8175
2024,2,자녀,5617
2024,2,연인,3658
2024,2,싱글,3500
2024,2,배우자,3473
2024,2,학생,1405
