year,month,순위,분류,관련 키워드,언급건수
2025,1,1,휴식/힐링,힐링,2485
2025,1,2,휴식/힐링,나들이,1175
2025,1,3,레포츠,캠핑,884
2025,1,4,레포츠,빠지,712
2025,1,5,기타,투어,524
2025,1,6,레포츠,등산,399
2025,1,7,레포츠,스키,302
2025,1,8,기타,데이트코스,265
2025,1,9,휴식/힐링,피크닉,237
2025,1,10,휴식/힐링,휴양,236
2025,1,11,레포츠,낚시,229
2025,1,12,기타,해외여행,207
2025,1,13,레포츠,글램핑,202
2025,1,14,휴식/힐링,불멍,195
2025,1,15,레포츠,레저,167
2025,1,16,휴식/힐링,즐길거리,136
2025,1,17,레포츠,트레킹,134
2025,1,18,휴식/힐링,재충전,126
2025,1,19,레포츠,산행,121
2025,1,20,휴식/힐링,워케이션,108
2025,1,21,체험,농촌체험,103
2025,1,22,레포츠,ssi,100
2025,1,23,레포츠,스노쿨링,99
2025,1,23,레포츠,스노클링,99
2025,1,25,레포츠,스쿠버,98
2025,1,26,레포츠,padi,97
2025,1,26,레포츠,프리다이빙,97
2025,1,28,레포츠,스킨스쿠버,96
2025,1,29,레포츠,cmas,95
2025,1,29,레포츠,스킨다이빙,95
2025,1,29,레포츠,오픈워터,95
2025,1,32,휴식/힐링,테라피,86
2025,1,33,기타,답사,73
2025,1,34,레포츠,레포츠,58
2025,1,34,미식,먹부림,58
2025,1,34,휴식/힐링,겨울여행,58
2025,1,37,레포츠,차박,56
2025,1,38,레포츠,클라이밍,55
2025,1,38,체험,시티투어,55
2025,1,40,레포츠,카약,52
2025,1,41,휴식/힐링,호캉스,51
2025,1,42,레포츠,하이킹,48
2025,1,43,레포츠,캠프파이어,45
2025,1,44,레포츠,오프로드,42
2025,1,44,미식,카페투어,42
2025,1,46,레포츠,서핑,41
2025,1,47,레포츠,짚라인,40
2025,1,48,기타,부산여행,36
2025,1,48,레포츠,게이트볼,36
2025,1,48,미식,빵지순례,36
2025,1,48,휴식/힐링,물멍,36
2025,1,52,레포츠,오토캠핑,35
2025,1,53,미식,맛집탐방,32
2025,1,53,체험,공포체험,32
2025,1,55,휴식/힐링,신혼여행,31
2025,1,56,휴식/힐링,드라이브코스,27
2025,1,57,레포츠,캠크닉,24
2025,1,57,레포츠,트래킹,24
2025,1,57,휴식/힐링,힐링여행,24
2025,1,60,체험,딸기체험,23
2025,1,61,기타,추억여행,22
2025,1,62,레포츠,래프팅,21
2025,1,62,휴식/힐링,노을뷰,21
2025,1,64,기타,일본여행,19
2025,1,65,체험,동물체험,18
2025,1,66,미식,맛집투어,17
2025,1,67,기타,유럽여행,16
2025,1,67,레포츠,백패킹,16
2025,1,69,미식,바베큐파티,15
2025,1,69,휴식/힐링,야영,15
2025,1,71,기타,기차여행,14
2025,1,71,레포츠,수상레저,14
2025,1,73,휴식/힐링,단풍놀이,13
2025,1,74,레포츠,스노우보드,12
2025,1,74,레포츠,캠프닉,12
2025,1,74,체험,오프로드체험,12
2025,1,77,레포츠,오프로드라이딩,11
2025,1,77,체험,동물먹이주기체험,11
2025,1,77,휴식/힐링,촌캉스,11
2025,1,80,체험,vr체험,10
2025,1,80,체험,승마체험,10
2025,1,80,체험,템플스테이,10
2025,1,80,휴식/힐링,생태관광,10
2025,1,80,휴식/힐링,온천여행,10
2025,1,85,기타,제주여행,9
2025,1,85,레포츠,카라반캠핑,9
2025,1,85,레포츠,트레일러닝,9
2025,1,85,미식,고기파티,9
2025,1,85,체험,쿠킹클래스,9
2025,1,85,휴식/힐링,허니문,9
2025,1,91,레포츠,산악오토바이,8
2025,1,91,체험,갯벌체험,8
2025,1,91,체험,놀이체험,8
2025,1,91,체험,동물먹이체험,8
2025,1,91,체험,한옥스테이,8
2025,1,96,레포츠,바다낚시,7
2025,1,96,체험,농장체험,7
2025,1,96,체험,요리체험,7
2025,1,96,휴식/힐링,일광욕,7
2025,1,100,기타,역사여행,6
2025,1,100,레포츠,민물낚시,6
2025,1,100,레포츠,바나나보트,6
2025,1,100,레포츠,번지점프,6
2025,1,100,레포츠,패러글라이딩,6
2025,1,100,체험,먹이주기체험,6
2025,1,100,체험,미술체험,6
2025,1,100,체험,전통놀이체험,6
2025,1,108,레포츠,감성캠핑,5
2025,1,108,레포츠,노지캠핑,5
2025,1,108,레포츠,레저스포츠,5
2025,1,108,레포츠,제트스키,5
2025,1,108,레포츠,캠핑족,5
2025,1,108,미식,먹킷리스트,5
2025,1,108,체험,감귤체험,5
2025,1,108,체험,생태체험,5
2025,1,108,체험,수학여행,5
2025,1,108,체험,역사체험,5
2025,1,108,휴식/힐링,감성여행,5
2025,1,108,휴식/힐링,우정여행,5
2025,1,108,휴식/힐링,태교여행,5
2025,1,121,기타,배낭여행,4
