year,month,동반유형명,언급건수
2025,8,기타가족,19239
2025,8,친구,14104
2025,8,부모님,11070
2025,8,회사동료,7934
2025,8,자녀,6875
2025,8,싱글,4665
2025,8,배우자,3532
2025,8,연인,3028
2025,8,학생,1838
