지표 코드,지표명,지표 순위값,지역명
1,방문자유입,27,고양시 덕양구
2,숙박방문자 비율,51,고양시 덕양구
3,체류시간,176,고양시 덕양구
4,목적지 검색량,14,고양시 덕양구
5,관광소비,15,고양시 덕양구
1,방문자유입,47,시흥시
2,숙박방문자 비율,41,시흥시
3,체류시간,129,시흥시
4,목적지 검색량,21,시흥시
5,관광소비,24,시흥시
1,방문자유입,45,파주시
2,숙박방문자 비율,48,파주시
3,체류시간,142,파주시
4,목적지 검색량,5,파주시
5,관광소비,19,파주시
1,방문자유입,48,김포시
2,숙박방문자 비율,46,김포시
3,체류시간,123,김포시
4,목적지 검색량,18,김포시
5,관광소비,21,김포시
