업종중분류명,지역명,비율
음식,경기도 파주시,43.7
쇼핑,경기도 파주시,17.7
기타관광,경기도 파주시,13.5
문화관광,경기도 파주시,9.8
레저스포츠,경기도 파주시,8.6
숙박,경기도 파주시,4.3
역사관광,경기도 파주시,1.3
자연관광,경기도 파주시,0.9
체험관광,경기도 파주시,0.3
