업종중분류명,지역명,비율
음식,강원특별자치도 원주시,43.7
기타관광,강원특별자치도 원주시,17.9
레저스포츠,강원특별자치도 원주시,11.9
숙박,강원특별자치도 원주시,10.7
문화관광,강원특별자치도 원주시,7.9
쇼핑,강원특별자치도 원주시,5.5
역사관광,강원특별자치도 원주시,1.5
자연관광,강원특별자치도 원주시,0.7
체험관광,강원특별자치도 원주시,0.1
