업종중분류명,지역명,비율
음식,광주광역시 광산구,55.3
기타관광,광주광역시 광산구,14.3
숙박,광주광역시 광산구,9.7
쇼핑,광주광역시 광산구,8.4
문화관광,광주광역시 광산구,8.2
레저스포츠,광주광역시 광산구,3.3
자연관광,광주광역시 광산구,0.4
역사관광,광주광역시 광산구,0.3
체험관광,광주광역시 광산구,0.2
