기준연월,동반유형명,언급건수
202104,기타가족,9337
202104,자녀,4189
202104,친구,4180
202104,회사동료,4169
202104,부모님,4044
202104,배우자,2108
202104,싱글,1718
202104,연인,1586
202104,학생,1034
