기준년도,2023
전국 소비 지출액(A),1.1372917E15
전국 카드 지출액 대비 지역주민의 카드 소비액 비율(B),1.0877188128436355
지역 외 소비액 비율,48.114312421003156
지역 내 소비 비율(F),51.885687578996844
지역주민의 총소비 지출액(C = A X B),1.2157648273E15
지역주민의 지역 내 소비액(D = C X F),6.3086036888597E16
주민등록 인구 수(E),497753
주민 1인당 지역 내 소비액(G = D / E),1.2674165075569008E11
1회 평균 숙박 관광객 소비액(H),132000
1회 평균 당일 관광객 소비액(I),60000
① 숙박 관광객(G / H),96.0
② 당일 관광객(G / I),211.0
③ 숙박/당일 여행횟수 비율 적용 관광객 숙박,17.0
③ 숙박/당일 여행횟수 비율 적용 관광객 당일,173.0
③ 숙박/당일 여행횟수 비율 적용 관광객 숙박 비율,17.71
③ 숙박/당일 여행횟수 비율 적용 관광객 당일 비율,82.29
주간 인구 수,441565

