업종중분류명,검색건수,전년동기 검색건수,전년동기 대비 검색율,총검색건수,전년동기 총검색건수,전년동기 대비 총검색율
기타관광,5005,4554,9.9,27897,20402,36.7
레저스포츠,3480,2677,30.0,27897,20402,36.7
문화관광,2622,1792,46.3,27897,20402,36.7
쇼핑,4592,3098,48.2,27897,20402,36.7
숙박,823,579,42.1,27897,20402,36.7
역사관광,831,510,62.9,27897,20402,36.7
음식,9788,6632,47.6,27897,20402,36.7
자연관광,643,456,41.0,27897,20402,36.7
체험관광,113,104,8.7,27897,20402,36.7
