업종중분류명,업체명,방문자수,순위
음식,일산칼국수/본점,34.0,1
음식,포레스트아웃팅스,27.0,2
음식,메밀꽃이피었습니다/일산본점,25.0,3
음식,맥도날드/중산DT점,22.0,4
음식,설문커피,18.0,5
음식,가나안덕/일산본점,17.0,6
음식,옐로커피,11.0,7
음식,여자만숯불장어구이,9.0,8
음식,봉포머구리집/일산직영점,8.0,9
음식,백제원/일산점 [한식],8.0,10
쇼핑,코스트코홀세일/일산점,140.0,1
쇼핑,라페스타,122.0,2
쇼핑,롯데백화점/일산점,53.0,3
쇼핑,벨라시타,44.0,4
쇼핑,이마트/풍산점,44.0,5
쇼핑,뉴코아아울렛/일산점,33.0,6
쇼핑,홈플러스/일산점,24.0,7
쇼핑,홈플러스/고양터미널점,19.0,8
쇼핑,이마트/일산점,13.0,9
쇼핑,롯데아울렛/고양터미널점,12.0,10
문화관광,일산호수공원,74.0,1
문화관광,CGV/일산,16.0,2
문화관광,롯데시네마/라페스타,5.0,3
문화관광,중산체육공원,4.0,4
문화관광,정발산공원,4.0,5
문화관광,고양아람누리새라새극장,3.0,6
문화관광,메가박스/백석,3.0,7
문화관광,일산호수공원/반려동물놀이터,2.0,8
문화관광,지영체육공원,2.0,9
문화관광,고양장항야구장,2.0,10
