기준연월,동반유형명,언급건수
202102,기타가족,6215
202102,부모님,3102
202102,친구,2440
202102,자녀,2296
202102,회사동료,1974
202102,배우자,1439
202102,싱글,1065
202102,연인,972
202102,학생,404
