순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객총계
1,경기도,파주시,임진각관광지,202010,145631,145631.0
2,경기도,파주시,벽초지수목원,202010,52991,52991.0
3,경기도,파주시,헤이리예술마을,202010,40400,40400.0
4,경기도,파주시,공릉관광지(하니랜드),202010,20167,20167.0
5,경기도,파주시,서서울컨트리클럽,202010,12516,12516.0
6,경기도,파주시,율곡선생유적지,202010,12303,12303.0
7,경기도,파주시,파주삼릉,202010,11101,11101.0
8,경기도,파주시,서원밸리골프클럽,202010,8155,8155.0
9,경기도,파주시,통일전망대,202010,7766,7766.0
10,경기도,파주시,황희선생유적지,202010,6969,6969.0
11,경기도,파주시,경기미래교육 파주캠퍼스,202010,4929,4929.0
12,경기도,파주시,파주장릉,202010,4678,4678.0
13,경기도,파주시,우농타조농장,202010,3841,3841.0
14,경기도,파주시,베스트밸리,202010,3242,3242.0
15,경기도,파주시,제3땅굴,202010,3215,3215.0
16,경기도,파주시,황포돛배,202010,3059,3059.0
17,경기도,파주시,소울원,202010,1420,1420.0
18,경기도,파주시,산머루농원,202010,493,493.0
19,경기도,파주시,쇠꼴마을,202010,320,320.0
20,경기도,파주시,영집궁시박물관,202010,254,254.0
21,경기도,파주시,두루뫼박물관,202010,216,216.0
