기준연월,동반유형명,언급건수
202012,기타가족,8134
202012,자녀,3919
202012,회사동료,3645
202012,친구,3525
202012,부모님,3071
202012,배우자,1678
202012,싱글,1507
202012,연인,1047
202012,학생,770
