언어명,관광지명,구분
중번체,Heyri藝術村 (헤이리 예술마을),체험관광지
중번체,烏頭山統一瞭望臺 (오두산 통일전망대),건축/조형물
중번체,碧草池樹木園 (벽초지수목원),자연관광지
중번체,板門店 (판문점),역사관광지
중번체,坡州三陵 [UNESCO世界文化遺產] (파주 삼릉 [유네스코 세계문화유산]),역사관광지
중번체,坡州烏頭山城 (파주 오두산성),역사관광지
중번체,都羅山站 (도라산역),역사관광지
중번체,坡州臨津閣(和平世界公園) (파주 임진각(평화누리공원)),역사관광지
중번체,普羅旺斯村 (프로방스 마을),체험관광지
중번체,笑鬱園 (소울원),자연관광지
중번체,首爾特技學校 (Marshall藝術中心) (서울액션스쿨 (마샬아트센터)),육상 레포츠
