순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객총계
1,경기도,파주시,임진각관광지,202102,98127,98127.0
2,경기도,파주시,퍼스트가든,202102,30785,30785.0
3,경기도,파주시,헤이리예술마을,202102,27900,27900.0
4,경기도,파주시,공릉관광지(하니랜드),202102,14651,14651.0
5,경기도,파주시,벽초지수목원,202102,10084,10084.0
6,경기도,파주시,통일전망대,202102,8030,8030.0
7,경기도,파주시,서서울컨트리클럽,202102,5603,5603.0
8,경기도,파주시,서원밸리골프클럽,202102,4562,4562.0
9,경기도,파주시,황희선생유적지,202102,3878,3878.0
10,경기도,파주시,파주삼릉,202102,3843,3843.0
11,경기도,파주시,율곡선생유적지,202102,3026,3026.0
12,경기도,파주시,경기미래교육 파주캠퍼스,202102,2590,2590.0
13,경기도,파주시,파주장릉,202102,1622,1622.0
14,경기도,파주시,우농타조농장,202102,1531,1531.0
15,경기도,파주시,베스트밸리,202102,1043,1043.0
16,경기도,파주시,소울원,202102,1002,1002.0
17,경기도,파주시,쇠꼴마을,202102,785,785.0
18,경기도,파주시,영집궁시박물관,202102,138,138.0
19,경기도,파주시,두루뫼박물관,202102,111,111.0
20,경기도,파주시,산머루농원,202102,81,81.0
