소비자 연령,비율(남성),비율(여성)
80대,0.2,0.3
70대,1.2,0.8
60대,7.0,3.8
50대,14.3,8.8
40대,17.5,8.9
30대,16.3,8.7
20대,7.1,4.7
10대,0.1,0.1
