업종대분류명,업종중분류명,업종대분류 비율(%),업종중분류 비율(%)
쇼핑업,레저용품쇼핑,49.4,3.1
쇼핑업,기타관광쇼핑,49.4,30.3
쇼핑업,대형쇼핑몰,49.4,66.5
숙박업,호텔,0.9,5.1
숙박업,캠핑장/펜션,0.9,4.5
숙박업,기타숙박,0.9,90.5
식음료업,일반외식업,29.5,82.2
식음료업,제과음료업,29.5,17.8
여가서비스업,관광유원시설,4.3,4.0
여가서비스업,골프장,4.3,51.6
여가서비스업,기타레저,4.3,29.6
여가서비스업,문화서비스,4.3,14.8
여행업,여행업,0.0,100.0
운송업,렌터카,14.6,0.0
운송업,육상운송,14.6,100.0
의료웰니스업,의료관광,1.3,17.1
의료웰니스업,뷰티,1.3,82.9
