대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,대형쇼핑몰,74.8,75.3
쇼핑업,레저용품쇼핑,74.8,0.8
쇼핑업,기타관광쇼핑,74.8,23.9
숙박업,호텔,5.1,12.8
숙박업,캠핑장/펜션,5.1,0.4
숙박업,기타숙박,5.1,86.8
식음료업,일반외식업,10.5,81.9
식음료업,제과음료업,10.5,18.1
여가서비스업,관광유원시설,2.9,2.4
여가서비스업,골프장,2.9,57.2
여가서비스업,기타레저,2.9,38.4
여가서비스업,문화서비스,2.9,2.0
여행업,여행업,0.1,100.0
운송업,육상운송,0.7,96.9
운송업,렌터카,0.7,3.1
의료웰니스업,의료관광,5.9,22.8
의료웰니스업,뷰티,5.9,77.2
