기초지자체,중분류,소비액(천원)
경기도,관광총소비,2339461.0
경기도,관광총소비,9188674.0
경기도,관광총소비,4.216385E7
경기도,관광총소비,3.1189506E7
경기도,관광총소비,6860263.0
경기도,관광총소비,1.0811489E7
경기도,관광총소비,9.6726408E7
경기도,관광총소비,7263789.0
경기도,관광총소비,1975354.0
경기도,관광총소비,1.214444E7
경기도,관광총소비,2.9374386E7
경기도,관광총소비,2312440.0
경기도,관광총소비,612376.0
경기도,관광총소비,4295874.0
경기도,관광총소비,1.11472337E8
경기도,관광총소비,1.7309129E7
경기도,관광총소비,4521164.0
경기도,관광총소비,7378465.0
경기도,관광총소비,2.5685768E7
경기도,관광총소비,1.4154894E7
경기도,관광총소비,7510480.0
경기도,관광총소비,1346417.0
경기도,관광총소비,3288203.0
경기도,관광총소비,6948167.0
경기도,관광총소비,3347177.0
경기도,관광총소비,8446438.0
경기도,관광총소비,2316725.0
경기도,관광총소비,8602423.0
경기도,관광총소비,7182478.0
경기도,관광총소비,9834650.0
경기도,관광총소비,1.5643648E7
경기도,관광총소비,1.203692E7
경기도,관광총소비,2.7071639E7
경기도,관광총소비,7010325.0
경기도,관광총소비,1.0869848E7
경기도,관광총소비,1.8392984E7
경기도,관광총소비,2.6422248E7
경기도,관광총소비,3605466.0
경기도,관광총소비,2785340.0
경기도,관광총소비,3443738.0
경기도,관광총소비,1.642438E7
경기도,관광총소비,281354.0
경기도,관광총소비,3848804.0
경기도,관광총소비,1527241.0
