기준년월,기초지자체,중분류,소비액(천원)
202308,파주시,기타숙박,81214.0
202308,파주시,여행업,2768.0
202308,파주시,육상운송,17306.0
202308,파주시,대형쇼핑몰,1377841.0
202308,파주시,레저용품쇼핑,22099.0
202308,파주시,기타관광쇼핑,377262.0
202308,파주시,관광유원시설,1655.0
202308,파주시,골프장,46602.0
202308,파주시,기타레저,30993.0
202308,파주시,문화서비스,1664.0
202308,파주시,의료관광,23563.0
202308,파주시,뷰티,71131.0
202308,파주시,일반외식업,196992.0
202308,파주시,제과음료업,47058.0
202309,파주시,호텔,25147.0
202309,파주시,캠핑장/펜션,40.0
202309,파주시,기타숙박,70035.0
202309,파주시,육상운송,11692.0
202309,파주시,렌터카,242.0
202309,파주시,대형쇼핑몰,1335063.0
202309,파주시,레저용품쇼핑,16986.0
202309,파주시,기타관광쇼핑,384514.0
202309,파주시,관광유원시설,1828.0
202309,파주시,골프장,39814.0
202309,파주시,기타레저,44539.0
202309,파주시,문화서비스,1191.0
202309,파주시,의료관광,25947.0
202309,파주시,뷰티,91500.0
202309,파주시,일반외식업,230828.0
202309,파주시,제과음료업,44758.0
202302,파주시,렌터카,0.0
