업종중분류명,업체명,방문자수,순위
음식,설문커피,28.0,1
음식,일산칼국수/본점,26.0,2
음식,맥도날드/중산DT점,22.0,3
음식,메밀꽃이피었습니다/일산본점,20.0,4
음식,옐로커피,20.0,5
음식,포레스트아웃팅스/일산,18.0,6
음식,본갈비,14.0,7
음식,가나안덕/일산본점,14.0,8
음식,여자만숯불장어구이,12.0,9
음식,다람쥐마을누룽지백숙,12.0,10
쇼핑,코스트코홀세일/일산점,135.0,1
쇼핑,라페스타,134.0,2
쇼핑,벨라시타,72.0,3
쇼핑,뉴코아아울렛/일산점,50.0,4
쇼핑,롯데백화점/일산점,50.0,5
쇼핑,이마트/풍산점,42.0,6
쇼핑,홈플러스/고양터미널점,29.0,7
쇼핑,해태쇼핑타운,19.0,8
쇼핑,롯데아울렛/고양터미널점,18.0,9
쇼핑,홈플러스/일산점,17.0,10
문화관광,일산호수공원,90.0,1
문화관광,CGV/일산,36.0,2
문화관광,롯데시네마/라페스타,17.0,3
문화관광,중산체육공원,10.0,4
문화관광,알미공원,6.0,5
문화관광,메가박스/백석,6.0,6
문화관광,CJ라이브시티/아레나 건축중(2024년 준공예정),5.0,7
문화관광,와글아이/일산차움라이프센터점,3.0,8
문화관광,고양아람누리,3.0,9
문화관광,메가박스/일산벨라시타,3.0,10
