지역코드,지역명,평균 체류시간,평균 숙박일수
41111,수원시 장안구,1003.0,2.99
41113,수원시 권선구,1202.0,2.89
41115,수원시 팔달구,703.0,2.64
41117,수원시 영통구,956.0,2.97
41131,성남시 수정구,964.0,2.9
41133,성남시 중원구,1115.0,2.75
41135,성남시 분당구,937.0,3.05
41150,의정부시,1361.0,2.91
41171,안양시 만안구,993.0,2.86
41173,안양시 동안구,1108.0,2.96
41190,부천시,1330.0,2.98
41210,광명시,765.0,2.84
41220,평택시,2496.0,3.08
41250,동두천시,1210.0,2.75
41271,안산시 상록구,1614.0,2.94
41273,안산시 단원구,1138.0,2.67
41281,고양시 덕양구,980.0,3.0
41285,고양시 일산동구,930.0,2.98
41287,고양시 일산서구,904.0,2.89
41290,과천시,633.0,3.01
41310,구리시,649.0,2.87
41360,남양주시,1375.0,2.94
41370,오산시,1301.0,2.94
41390,시흥시,1229.0,2.91
41410,군포시,1303.0,3.0
41430,의왕시,636.0,2.87
41450,하남시,721.0,2.94
41461,용인시 처인구,1074.0,2.66
41463,용인시 기흥구,1086.0,3.0
41465,용인시 수지구,1319.0,3.03
41480,파주시,1272.0,2.89
41500,이천시,1276.0,2.98
41550,안성시,1028.0,2.82
41570,김포시,1355.0,2.97
41590,화성시,1490.0,2.87
41610,광주시,1291.0,2.96
41630,양주시,1097.0,2.8
41650,포천시,1153.0,2.49
41670,여주시,1573.0,2.91
41800,연천군,1200.0,2.57
41820,가평군,1115.0,2.27
41830,양평군,1421.0,2.58
