기준년월,기초지자체,카테고리중분류명,기초지자체 검색건수
202410,파주시,전체,790531
202411,파주시,전체,631998
202412,파주시,전체,553705
202502,파주시,전체,456755
202503,파주시,전체,636675
202504,파주시,전체,588468
202501,파주시,전체,529824
202505,파주시,전체,736738
202506,파주시,전체,646083
202507,파주시,전체,595814
202508,파주시,전체,682757
202509,파주시,전체,583804
202410,파주시,기타관광,78991
202410,파주시,쇼핑,115917
202410,파주시,숙박,33109
202410,파주시,음식,378217
202410,파주시,자연관광,3477
202410,파주시,문화관광,102172
202410,파주시,역사관광,12347
202410,파주시,체험관광,2555
202410,파주시,레저스포츠,63746
202411,파주시,기타관광,68355
202411,파주시,쇼핑,102613
202411,파주시,숙박,29788
202411,파주시,음식,291527
202411,파주시,자연관광,2712
202411,파주시,문화관광,72168
202411,파주시,역사관광,14117
202411,파주시,체험관광,2273
202411,파주시,레저스포츠,48445
202412,파주시,기타관광,48034
202412,파주시,쇼핑,101714
202412,파주시,숙박,24757
202412,파주시,음식,293810
202412,파주시,문화관광,52690
202412,파주시,역사관광,6028
202412,파주시,자연관광,1489
202412,파주시,체험관광,1868
202412,파주시,레저스포츠,23315
202502,파주시,기타관광,42153
202502,파주시,쇼핑,75553
202502,파주시,숙박,17463
202502,파주시,음식,248506
202502,파주시,문화관광,45275
202502,파주시,역사관광,5852
202502,파주시,자연관광,1528
202502,파주시,체험관광,1919
202502,파주시,레저스포츠,18506
202503,파주시,기타관광,61169
202503,파주시,쇼핑,115059
202503,파주시,숙박,22469
202503,파주시,음식,319448
202503,파주시,자연관광,2551
202503,파주시,문화관광,60746
202503,파주시,역사관광,7969
202503,파주시,체험관광,2343
202503,파주시,레저스포츠,44921
202504,파주시,기타관광,58212
202504,파주시,쇼핑,89906
202504,파주시,숙박,23382
202504,파주시,음식,282057
202504,파주시,자연관광,3377
202504,파주시,문화관광,64800
202504,파주시,역사관광,8847
202504,파주시,체험관광,1896
202504,파주시,레저스포츠,55991
202501,파주시,기타관광,48141
202501,파주시,쇼핑,94074
202501,파주시,숙박,20501
202501,파주시,음식,284094
202501,파주시,문화관광,50834
202501,파주시,역사관광,8656
202501,파주시,자연관광,1967
202501,파주시,체험관광,2528
202501,파주시,레저스포츠,19029
202505,파주시,기타관광,74937
202505,파주시,문화관광,88570
202505,파주시,쇼핑,108184
202505,파주시,숙박,30096
202505,파주시,역사관광,13353
202505,파주시,음식,351927
202505,파주시,자연관광,4380
202505,파주시,체험관광,2402
202505,파주시,레저스포츠,62889
202506,파주시,기타관광,66049
202506,파주시,쇼핑,94100
202506,파주시,숙박,25074
202506,파주시,역사관광,10417
202506,파주시,음식,315321
202506,파주시,자연관광,3989
202506,파주시,문화관광,72467
202506,파주시,체험관광,2160
202506,파주시,레저스포츠,56506
202507,파주시,기타관광,52232
202507,파주시,쇼핑,74478
202507,파주시,숙박,23443
202507,파주시,역사관광,8066
202507,파주시,음식,318534
202507,파주시,문화관광,60822
202507,파주시,자연관광,3626
202507,파주시,체험관광,1702
202507,파주시,레저스포츠,52911
202508,파주시,기타관광,63016
202508,파주시,쇼핑,89629
202508,파주시,숙박,25401
202508,파주시,역사관광,9575
202508,파주시,음식,359551
202508,파주시,문화관광,77004
202508,파주시,자연관광,4834
202508,파주시,체험관광,1779
202508,파주시,레저스포츠,51968
202509,파주시,기타관광,56473
202509,파주시,쇼핑,83001
202509,파주시,숙박,22949
202509,파주시,역사관광,9690
202509,파주시,음식,285700
202509,파주시,문화관광,67686
202509,파주시,자연관광,2763
202509,파주시,체험관광,2150
202509,파주시,레저스포츠,53392
