카테고리중분류명,유형별 검색건수,유형별 검색건수 비율
자연관광,36693,0.5
역사관광,114917,1.5
체험관광,25575,0.3
문화관광,815234,11.0
레저스포츠,551619,7.4
쇼핑,1144228,15.4
음식,3728692,50.2
숙박,298432,4.0
기타관광,717762,9.7
