기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
가평군,기타관광,3365415,2.4,285296,8.5
가평군,레저스포츠,3365415,2.4,430463,12.8
가평군,문화관광,3365415,2.4,343925,10.2
가평군,쇼핑,3365415,2.4,11075,0.3
가평군,숙박,3365415,2.4,809776,24.1
가평군,역사관광,3365415,2.4,16237,0.5
가평군,음식,3365415,2.4,1168098,34.7
가평군,자연관광,3365415,2.4,296438,8.8
가평군,체험관광,3365415,2.4,4107,0.1
고양시 덕양구,기타관광,5774805,4.0,286859,5.0
고양시 덕양구,레저스포츠,5774805,4.0,418439,7.2
고양시 덕양구,문화관광,5774805,4.0,426194,7.4
고양시 덕양구,쇼핑,5774805,4.0,1429098,24.7
고양시 덕양구,숙박,5774805,4.0,82866,1.4
고양시 덕양구,역사관광,5774805,4.0,193197,3.3
고양시 덕양구,음식,5774805,4.0,2895950,50.1
고양시 덕양구,자연관광,5774805,4.0,5520,0.1
고양시 덕양구,체험관광,5774805,4.0,36682,0.6
고양시 일산동구,기타관광,4092717,2.9,99239,2.4
고양시 일산동구,레저스포츠,4092717,2.9,98358,2.4
고양시 일산동구,문화관광,4092717,2.9,639245,15.6
고양시 일산동구,쇼핑,4092717,2.9,598811,14.6
고양시 일산동구,숙박,4092717,2.9,163113,4.0
고양시 일산동구,역사관광,4092717,2.9,15203,0.4
고양시 일산동구,음식,4092717,2.9,2468709,60.3
고양시 일산동구,자연관광,4092717,2.9,787,0.0
고양시 일산동구,체험관광,4092717,2.9,9252,0.2
고양시 일산서구,기타관광,2941906,2.1,59201,2.0
고양시 일산서구,레저스포츠,2941906,2.1,41952,1.4
고양시 일산서구,문화관광,2941906,2.1,1021288,34.7
고양시 일산서구,쇼핑,2941906,2.1,620965,21.1
고양시 일산서구,숙박,2941906,2.1,95003,3.2
고양시 일산서구,역사관광,2941906,2.1,1271,0.0
고양시 일산서구,음식,2941906,2.1,1087804,37.0
고양시 일산서구,자연관광,2941906,2.1,2113,0.1
고양시 일산서구,체험관광,2941906,2.1,12309,0.4
과천시,기타관광,1628531,1.1,11484,0.7
과천시,레저스포츠,1628531,1.1,180880,11.1
과천시,문화관광,1628531,1.1,913503,56.1
과천시,쇼핑,1628531,1.1,11581,0.7
과천시,숙박,1628531,1.1,11278,0.7
과천시,역사관광,1628531,1.1,11519,0.7
과천시,음식,1628531,1.1,479330,29.4
과천시,자연관광,1628531,1.1,7511,0.5
과천시,체험관광,1628531,1.1,1445,0.1
광명시,기타관광,3303071,2.3,1465072,44.4
광명시,레저스포츠,3303071,2.3,103624,3.1
광명시,문화관광,3303071,2.3,119089,3.6
광명시,쇼핑,3303071,2.3,437845,13.3
광명시,숙박,3303071,2.3,101515,3.1
광명시,역사관광,3303071,2.3,16670,0.5
광명시,음식,3303071,2.3,949086,28.7
광명시,자연관광,3303071,2.3,102020,3.1
광명시,체험관광,3303071,2.3,8150,0.2
광주시,기타관광,3856905,2.7,34071,0.9
광주시,레저스포츠,3856905,2.7,504179,13.1
광주시,문화관광,3856905,2.7,486966,12.6
광주시,쇼핑,3856905,2.7,55524,1.4
광주시,숙박,3856905,2.7,228430,5.9
광주시,역사관광,3856905,2.7,155953,4.0
광주시,음식,3856905,2.7,2330067,60.4
광주시,자연관광,3856905,2.7,49996,1.3
광주시,체험관광,3856905,2.7,11719,0.3
구리시,기타관광,1983429,1.4,10650,0.5
구리시,레저스포츠,1983429,1.4,77031,3.9
구리시,문화관광,1983429,1.4,250241,12.6
구리시,쇼핑,1983429,1.4,674371,34.0
구리시,숙박,1983429,1.4,67511,3.4
구리시,역사관광,1983429,1.4,41848,2.1
구리시,음식,1983429,1.4,856526,43.2
구리시,자연관광,1983429,1.4,69,0.0
구리시,체험관광,1983429,1.4,5182,0.3
군포시,기타관광,768312,0.5,4722,0.6
군포시,레저스포츠,768312,0.5,43930,5.7
군포시,문화관광,768312,0.5,79315,10.3
군포시,쇼핑,768312,0.5,159014,20.7
군포시,숙박,768312,0.5,32495,4.2
군포시,역사관광,768312,0.5,6220,0.8
군포시,음식,768312,0.5,400167,52.1
군포시,자연관광,768312,0.5,41780,5.4
군포시,체험관광,768312,0.5,669,0.1
김포시,기타관광,5165308,3.6,21057,0.4
김포시,레저스포츠,5165308,3.6,137609,2.7
김포시,문화관광,5165308,3.6,372602,7.2
김포시,쇼핑,5165308,3.6,1098205,21.3
김포시,숙박,5165308,3.6,260393,5.0
김포시,역사관광,5165308,3.6,38683,0.7
김포시,음식,5165308,3.6,3014504,58.4
김포시,자연관광,5165308,3.6,183073,3.5
김포시,체험관광,5165308,3.6,39182,0.8
남양주시,기타관광,8068406,5.6,507378,6.3
남양주시,레저스포츠,8068406,5.6,324795,4.0
남양주시,문화관광,8068406,5.6,658792,8.2
남양주시,쇼핑,8068406,5.6,916567,11.4
남양주시,숙박,8068406,5.6,222431,2.8
남양주시,역사관광,8068406,5.6,232998,2.9
남양주시,음식,8068406,5.6,5055139,62.7
남양주시,자연관광,8068406,5.6,91261,1.1
남양주시,체험관광,8068406,5.6,59045,0.7
동두천시,기타관광,567572,0.4,42658,7.5
동두천시,레저스포츠,567572,0.4,33620,5.9
동두천시,문화관광,567572,0.4,53902,9.5
동두천시,쇼핑,567572,0.4,22147,3.9
동두천시,숙박,567572,0.4,42323,7.5
동두천시,역사관광,567572,0.4,2310,0.4
동두천시,음식,567572,0.4,320721,56.5
동두천시,자연관광,567572,0.4,46613,8.2
동두천시,체험관광,567572,0.4,3278,0.6
부천시 소사구,기타관광,704926,0.5,40,0.0
