소비자 연령,비율(남성),비율(여성)
80대,0.3,0.2
70대,1.3,1.0
60대,7.0,4.1
50대,14.6,9.3
40대,17.4,9.8
30대,15.5,9.0
20대,5.8,4.5
10대,0.1,0.1
