업종대분류명,업종중분류명,중분류 소비액(천원)
쇼핑업,대형쇼핑몰,1502093.0
쇼핑업,레저용품쇼핑,9717.0
쇼핑업,기타관광쇼핑,391297.0
숙박업,호텔,25307.0
숙박업,캠핑장/펜션,1603.0
숙박업,기타숙박,149995.0
식음료업,일반외식업,200738.0
식음료업,제과음료업,40310.0
여가서비스업,관광유원시설,1714.0
여가서비스업,골프장,49263.0
여가서비스업,기타레저,16151.0
여가서비스업,문화서비스,1095.0
운송업,육상운송,29274.0
운송업,렌터카,700.0
의료웰니스업,의료관광,36302.0
의료웰니스업,뷰티,137414.0
