지역코드,지역명,평균 체류시간,평균 숙박일수
41111,수원시 장안구,1137.0,2.95
41113,수원시 권선구,1264.0,2.89
41115,수원시 팔달구,745.0,2.6
41117,수원시 영통구,983.0,2.93
41131,성남시 수정구,1266.0,3.07
41133,성남시 중원구,1229.0,2.75
41135,성남시 분당구,1041.0,3.04
41150,의정부시,1704.0,2.95
41171,안양시 만안구,1065.0,2.8
41173,안양시 동안구,1177.0,2.88
41190,부천시,1533.0,2.98
41210,광명시,1005.0,2.93
41220,평택시,2271.0,3.02
41250,동두천시,1634.0,2.86
41271,안산시 상록구,1701.0,2.91
41273,안산시 단원구,1187.0,2.67
41281,고양시 덕양구,982.0,2.95
41285,고양시 일산동구,1011.0,2.95
41287,고양시 일산서구,1022.0,2.93
41290,과천시,785.0,2.97
41310,구리시,834.0,2.98
41360,남양주시,1344.0,2.86
41370,오산시,1511.0,2.96
41390,시흥시,1302.0,2.92
41410,군포시,1397.0,2.92
41430,의왕시,759.0,2.85
41450,하남시,832.0,3.0
41461,용인시 처인구,1354.0,2.74
41463,용인시 기흥구,1240.0,3.01
41465,용인시 수지구,1397.0,3.01
41480,파주시,1382.0,2.88
41500,이천시,1244.0,2.9
41550,안성시,1091.0,2.83
41570,김포시,1653.0,3.06
41590,화성시,1625.0,2.87
41610,광주시,1144.0,2.9
41630,양주시,1979.0,3.04
41650,포천시,1489.0,2.57
41670,여주시,1053.0,2.71
41800,연천군,1338.0,2.55
41820,가평군,1088.0,2.27
41830,양평군,861.0,2.45
