소비자 연령,비율(남성),비율(여성)
80대,0.2,0.3
70대,1.4,0.9
60대,8.0,3.9
50대,15.9,8.9
40대,17.2,9.0
30대,15.3,8.6
20대,5.8,4.5
10대,0.1,0.1
