방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.2,1.9
60~69세,7.8,4.1
50~59세,13.0,7.4
40~49세,11.8,6.3
30~39세,10.6,6.5
20~29세,15.4,7.0
10~19세,2.7,2.1
0~9세,0.4,0.5
