국가명,비율(%)
중국,24.78
필리핀,16.75
기타,13.82
미국,13.82
인도,6.19
인도네시아,4.97
베트남,3.95
러시아,2.79
캐나다,2.72
독일,1.84
몽골,1.57
태국,1.23
일본,1.09
멕시코,0.95
아랍에미리트,0.68
오스트레일리아,0.54
싱가포르,0.54
말레이시아,0.48
영국,0.41
튀르키예,0.34
대만,0.27
프랑스,0.2
홍콩,0.07
카자흐스탄,0.0
사우디아라비아,0.0
