거리구분명,방문자수,방문자비율
30km 미만,1141130.0,42.37
30km 이상 70km 미만,1265764.0,46.99
70km 이상 140km 미만 ,138114.0,5.13
140km 이상 190km 미만,43208.0,1.6
190km 이상 240km 미만,24619.0,0.91
240km 이상 ,80661.0,2.99
