업종중분류명,현지인 검색비율,외지인 검색비율
음식,42.5,28.8
기타관광,22.1,19.5
쇼핑,13.8,23.9
문화관광,8.9,12.2
숙박,5.3,5.5
레저스포츠,4.1,6.8
역사관광,1.9,1.9
자연관광,1.1,1.1
체험관광,0.4,0.2
