업종대분류명,업종중분류명,중분류 소비액(천원)
쇼핑업,대형쇼핑몰,388132.0
쇼핑업,레저용품쇼핑,2600.0
쇼핑업,기타관광쇼핑,68204.0
숙박업,호텔,280.0
숙박업,캠핑장/펜션,50.0
숙박업,기타숙박,12651.0
식음료업,일반외식업,73585.0
식음료업,제과음료업,6419.0
여가서비스업,관광유원시설,696.0
여가서비스업,골프장,27543.0
여가서비스업,기타레저,2019.0
여가서비스업,문화서비스,478.0
운송업,육상운송,4720.0
의료웰니스업,의료관광,8110.0
의료웰니스업,뷰티,4445.0
