소비자 연령,비율(남성),비율(여성)
80대,0.2,0.3
70대,1.3,0.8
60대,5.9,3.5
50대,13.9,8.7
40대,16.8,10.1
30대,16.1,9.4
20대,7.5,5.4
10대,0.1,0.1
