소비자 연령,비율(남성),비율(여성)
80대,0.2,0.3
70대,1.3,0.9
60대,7.1,4.3
50대,14.6,9.5
40대,16.7,9.2
30대,15.4,8.9
20대,6.2,5.1
10대,0.1,0.1
