업종대분류명,업종중분류명,중분류 소비액(천원)
쇼핑업,대형쇼핑몰,280610.0
쇼핑업,레저용품쇼핑,2855.0
쇼핑업,기타관광쇼핑,86115.0
숙박업,호텔,21523.0
숙박업,기타숙박,16343.0
식음료업,일반외식업,60379.0
식음료업,제과음료업,8714.0
여가서비스업,관광유원시설,313.0
여가서비스업,골프장,5805.0
여가서비스업,기타레저,6475.0
여가서비스업,문화서비스,486.0
운송업,육상운송,6347.0
의료웰니스업,의료관광,7495.0
의료웰니스업,뷰티,3287.0
