업종대분류명,업종중분류명,업종대분류 비율(%),업종중분류 비율(%)
쇼핑업,레저용품쇼핑,53.1,2.2
쇼핑업,기타관광쇼핑,53.1,34.3
쇼핑업,대형쇼핑몰,53.1,63.5
숙박업,호텔,0.8,16.6
숙박업,캠핑장/펜션,0.8,7.2
숙박업,기타숙박,0.8,76.2
식음료업,일반외식업,26.7,78.3
식음료업,제과음료업,26.7,21.7
여가서비스업,관광유원시설,4.1,5.2
여가서비스업,골프장,4.1,53.5
여가서비스업,기타레저,4.1,27.4
여가서비스업,문화서비스,4.1,13.8
여행업,여행업,0.0,100.0
운송업,육상운송,14.2,99.9
운송업,렌터카,14.2,0.1
의료웰니스업,의료관광,1.1,16.0
의료웰니스업,뷰티,1.1,84.0
