방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.3,2.2
60~69세,8.3,5.0
50~59세,13.5,7.9
40~49세,11.7,6.7
30~39세,10.7,7.1
20~29세,11.3,7.1
10~19세,2.6,2.2
0~9세,0.6,0.7
