기준연월,목적지 유형,목적지 검색량
202202,전체,466021
202202,숙박,22117
202202,음식,206719
202202,기타관광,68117
202202,쇼핑,84823
202202,자연관광,4114
202202,문화관광,44791
202202,역사관광,6940
202202,체험관광,1367
202202,레저스포츠,27033
