거리구분명,방문자수,방문자비율
30km 미만,1279656.0,43.24
30km 이상 70km 미만,1354846.0,45.79
70km 이상 140km 미만 ,139968.0,4.73
140km 이상 190km 미만,48601.0,1.64
190km 이상 240km 미만,25606.0,0.87
240km 이상 ,110428.0,3.73
