국가명,비율(%)
기타,25.38
중국,24.74
미국,7.04
인도네시아,6.6
일본,5.98
베트남,5.34
프랑스,3.54
태국,3.36
필리핀,3.33
인도,3.01
캐나다,2.17
싱가포르,2.01
러시아,2.01
독일,1.85
영국,1.3
튀르키예,0.55
카자흐스탄,0.43
몽골,0.32
멕시코,0.27
말레이시아,0.27
사우디아라비아,0.2
아랍에미리트,0.12
홍콩,0.11
대만,0.11
