업종중분류명,현지인 검색비율,외지인 검색비율
음식,52.5,42.3
기타관광,15.4,14.4
쇼핑,11.7,19.8
문화관광,9.1,9.7
숙박,4.6,4.8
레저스포츠,4.0,6.2
역사관광,1.4,1.5
자연관광,0.9,0.9
체험관광,0.3,0.3
