EXAMIN_YM,RESPOND_CHARTR_SDIV_ID,RESPOND_CHARTR_SDIV_NM,RSPNS_RATE
"202501","SEXDSTN_M","남성","51.50000"
"202501","SEXDSTN_F","여성","48.50000"
"202501","AGRDE_20","20대","16.00000"
"202501","AGRDE_30","30대","17.70000"
"202501","AGRDE_40","40대","21.90000"
"202501","AGRDE_50","50대","23.30000"
"202501","AGRDE_60","60대","21.20000"
"202501","OC_AREA_SU","거주지역_서울특별시","20.60000"
"202501","OC_AREA_BS","거주지역_부산광역시","5.80000"
"202501","OC_AREA_DG","거주지역_대구광역시","4.70000"
"202501","OC_AREA_IC","거주지역_인천광역시","6.30000"
"202501","OC_AREA_GJ","거주지역_광주광역시","2.40000"
"202501","OC_AREA_DJ","거주지역_대전광역시","2.80000"
"202501","OC_AREA_US","거주지역_울산광역시","1.90000"
"202501","OC_AREA_GG","거주지역_경기도","25.90000"
"202501","OC_AREA_GW","거주지역_강원도","2.50000"
"202501","OC_AREA_CHNB","거주지역_충청북도","3.40000"
"202501","OC_AREA_CHNN_SJ","거주지역_충청남도(세종시 포함)","4.50000"
"202501","OC_AREA_JLBK","거주지역_전라북도","3.00000"
"202501","OC_AREA_JLNM","거주지역_전라남도","3.50000"
"202501","OC_AREA_GYNB","거주지역_경상북도","5.10000"
"202501","OC_AREA_GYNN","거주지역_경상남도","6.30000"
"202501","OC_AREA_JJ","거주지역_제주특별자치도","1.20000"
"202501","HSHLD_INCOME_300","300만원 미만","13.50000"
"202501","HSHLD_INCOME_300_500","300이상500만원 미만","22.40000"
"202501","HSHLD_INCOME_500_700","500이상700만원 미만","28.10000"
"202501","HSHLD_INCOME_700","700만원 이상","36.10000"
"202501","JOB_SE","자영업","8.40000"
"202501","JOB_SL","판매/서비스직","4.70000"
"202501","JOB_GMW","기능/숙련/일반작업직","9.40000"
"202501","JOB_WC","사무/기술직","38.40000"
"202501","JOB_BM","경영/관리/전문직","5.10000"
"202501","JOB_HW","전업주부","13.70000"
"202501","JOB_GS","대학/대학원생","5.90000"
"202501","JOB_ETC","기타/무직","14.40000"
"202501","MRST_UM","미혼","31.30000"
"202501","MRST_NK","신혼기(자녀 없음)","6.30000"
"202501","MRST_KD_EL","자녀 유아&성장(막내 입학전~초등생)","19.60000"
"202501","MRST_KD_MD","자녀 성장(막내 중고생)","8.40000"
"202501","MRST_KD_CL","자녀 성인(막내 대학)","26.90000"
"202501","MRST_KD_MR","자녀 독립(막내 결혼)","7.50000"
