업종중분류명,지역명,비율
음식,경기도 동두천시,54.3
기타관광,경기도 동두천시,12.1
숙박,경기도 동두천시,9.5
자연관광,경기도 동두천시,9.0
문화관광,경기도 동두천시,7.2
쇼핑,경기도 동두천시,4.6
레저스포츠,경기도 동두천시,3.0
역사관광,경기도 동두천시,0.4
체험관광,경기도 동두천시,0.0
