지표 코드,지표명,지표 순위값,지역명
1,방문자유입,45,유성구
2,숙박방문자 비율,33,유성구
3,체류시간,94,유성구
4,목적지 검색량,30,유성구
5,관광소비,14,유성구
1,방문자유입,30,고양시 일산동구
2,숙박방문자 비율,95,고양시 일산동구
3,체류시간,210,고양시 일산동구
4,목적지 검색량,26,고양시 일산동구
5,관광소비,29,고양시 일산동구
1,방문자유입,44,파주시
2,숙박방문자 비율,48,파주시
3,체류시간,129,파주시
4,목적지 검색량,6,파주시
5,관광소비,24,파주시
1,방문자유입,48,김포시
2,숙박방문자 비율,49,김포시
3,체류시간,92,김포시
4,목적지 검색량,21,김포시
5,관광소비,23,김포시
