업종중분류명,지역명,비율
음식,인천광역시 서구,57.1
문화관광,인천광역시 서구,13.1
쇼핑,인천광역시 서구,11.6
레저스포츠,인천광역시 서구,9.2
숙박,인천광역시 서구,4.8
기타관광,인천광역시 서구,2.5
자연관광,인천광역시 서구,1.3
역사관광,인천광역시 서구,0.3
체험관광,인천광역시 서구,0.1
