국가명,비율(%)
기타,21.89
일본,14.98
태국,11.9
중국,8.47
미국,6.98
싱가포르,5.72
인도네시아,4.91
베트남,3.98
대만,2.84
필리핀,2.69
인도,2.09
말레이시아,2.0
몽골,1.71
홍콩,1.66
오스트레일리아,1.48
프랑스,1.37
독일,1.34
캐나다,1.16
영국,0.93
카자흐스탄,0.63
러시아,0.63
튀르키예,0.26
멕시코,0.18
사우디아라비아,0.17
아랍에미리트,0.05
