방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.8,2.5
60~69세,9.4,5.6
50~59세,13.3,8.1
40~49세,11.7,6.4
30~39세,11.0,6.7
20~29세,12.0,6.1
10~19세,2.1,1.7
0~9세,0.4,0.4
