거리구분명,방문자수,방문자비율
30km 미만,1909006.0,43.64
30km 이상 70km 미만,1952863.0,44.64
70km 이상 140km 미만 ,218324.0,4.99
140km 이상 190km 미만,83650.0,1.91
190km 이상 240km 미만,42203.0,0.96
240km 이상 ,168516.0,3.85
