업종중분류명,현지인 검색비율,외지인 검색비율
음식,52.7,38.9
기타관광,14.0,13.7
쇼핑,11.7,19.1
문화관광,10.1,9.8
레저스포츠,4.4,9.9
숙박,4.3,5.2
역사관광,1.5,1.9
자연관광,0.9,1.1
체험관광,0.5,0.3
