순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객총계
1,경기도,파주시,임진각관광지,202002,61291,61291.0
2,경기도,파주시,통일전망대,202002,10425,10425.0
3,경기도,파주시,헤이리예술마을,202002,4255,4255.0
4,경기도,파주시,서원밸리골프클럽,202002,4152,4152.0
5,경기도,파주시,서서울컨트리클럽,202002,3142,3142.0
6,경기도,파주시,소울원,202002,2830,2830.0
7,경기도,파주시,벽초지수목원,202002,2403,2403.0
8,경기도,파주시,공릉관광지(하니랜드),202002,2376,2376.0
9,경기도,파주시,율곡선생유적지,202002,1985,1985.0
10,경기도,파주시,파주삼릉,202002,1835,1835.0
11,경기도,파주시,경기미래교육 파주캠퍼스,202002,1775,1775.0
12,경기도,파주시,황희선생유적지,202002,1368,1368.0
13,경기도,파주시,산머루농원,202002,1343,1343.0
14,경기도,파주시,베스트밸리,202002,1094,1094.0
15,경기도,파주시,파주장릉,202002,909,909.0
16,경기도,파주시,우농타조농장,202002,71,71.0
17,경기도,파주시,두루뫼박물관,202002,48,48.0
18,경기도,파주시,영집궁시박물관,202002,30,30.0
