year,month,소비자 연령,비율(남성),비율(여성)
2025,6,80대,0.4,0.3
2025,6,70대,2.2,1.5
2025,6,60대,9.7,5.8
2025,6,50대,16.6,10.3
2025,6,40대,16.8,8.9
2025,6,30대,13.1,7.7
2025,6,20대,3.4,3.0
2025,6,10대,0.1,0.1
