year,month,업종대분류명,업종중분류명,업종대분류 비율(%),업종중분류 비율(%)
2024,12,쇼핑업,레저용품쇼핑,50.5,3.1
2024,12,쇼핑업,기타관광쇼핑,50.5,27.5
2024,12,쇼핑업,대형쇼핑몰,50.5,69.4
2024,12,숙박업,호텔,0.7,9.5
2024,12,숙박업,캠핑장/펜션,0.7,7.2
2024,12,숙박업,기타숙박,0.7,83.3
2024,12,식음료업,일반외식업,30.4,82.2
2024,12,식음료업,제과음료업,30.4,17.8
2024,12,여가서비스업,관광유원시설,4.7,7.8
2024,12,여가서비스업,골프장,4.7,55.2
2024,12,여가서비스업,기타레저,4.7,24.0
2024,12,여가서비스업,문화서비스,4.7,13.0
2024,12,여행업,여행업,0.0,100.0
2024,12,운송업,육상운송,12.1,99.9
2024,12,운송업,렌터카,12.1,0.1
2024,12,의료웰니스업,의료관광,1.6,15.8
2024,12,의료웰니스업,뷰티,1.6,84.2
