year,month,업종대분류명,업종중분류명,업종대분류 비율(%),업종중분류 비율(%)
2025,9,쇼핑업,레저용품쇼핑,44.9,2.9
2025,9,쇼핑업,기타관광쇼핑,44.9,33.0
2025,9,쇼핑업,대형쇼핑몰,44.9,64.1
2025,9,숙박업,호텔,0.6,10.7
2025,9,숙박업,캠핑장/펜션,0.6,6.5
2025,9,숙박업,기타숙박,0.6,82.8
2025,9,식음료업,일반외식업,29.5,83.2
2025,9,식음료업,제과음료업,29.5,16.8
2025,9,여가서비스업,관광유원시설,10.0,3.2
2025,9,여가서비스업,골프장,10.0,81.8
2025,9,여가서비스업,기타레저,10.0,12.2
2025,9,여가서비스업,문화서비스,10.0,2.8
2025,9,여행업,여행업,0.1,100.0
2025,9,운송업,육상운송,13.5,100.0
2025,9,운송업,렌터카,13.5,0.0
2025,9,의료웰니스업,의료관광,1.4,16.9
2025,9,의료웰니스업,뷰티,1.4,83.1
