year,month,업종대분류명,업종중분류명,업종대분류 비율(%),업종중분류 비율(%)
2024,4,쇼핑업,레저용품쇼핑,46.5,3.5
2024,4,쇼핑업,기타관광쇼핑,46.5,29.5
2024,4,쇼핑업,대형쇼핑몰,46.5,67.0
2024,4,숙박업,호텔,0.6,10.3
2024,4,숙박업,캠핑장/펜션,0.6,8.7
2024,4,숙박업,기타숙박,0.6,81.0
2024,4,식음료업,일반외식업,28.8,81.8
2024,4,식음료업,제과음료업,28.8,18.2
2024,4,여가서비스업,관광유원시설,11.8,3.5
2024,4,여가서비스업,골프장,11.8,80.3
2024,4,여가서비스업,기타레저,11.8,11.9
2024,4,여가서비스업,문화서비스,11.8,4.3
2024,4,여행업,여행업,0.1,100.0
2024,4,운송업,육상운송,11.2,99.9
2024,4,운송업,렌터카,11.2,0.1
2024,4,의료웰니스업,의료관광,1.1,15.8
2024,4,의료웰니스업,뷰티,1.1,84.2
