year,month,업종대분류명,업종중분류명,업종대분류 비율(%),업종중분류 비율(%)
2024,11,쇼핑업,레저용품쇼핑,50.2,2.5
2024,11,쇼핑업,기타관광쇼핑,50.2,25.8
2024,11,쇼핑업,대형쇼핑몰,50.2,71.7
2024,11,숙박업,호텔,0.6,9.2
2024,11,숙박업,캠핑장/펜션,0.6,6.8
2024,11,숙박업,기타숙박,0.6,84.0
2024,11,식음료업,일반외식업,27.0,82.9
2024,11,식음료업,제과음료업,27.0,17.1
2024,11,여가서비스업,관광유원시설,9.7,3.9
2024,11,여가서비스업,골프장,9.7,79.4
2024,11,여가서비스업,기타레저,9.7,13.3
2024,11,여가서비스업,문화서비스,9.7,3.4
2024,11,여행업,여행업,0.1,100.0
2024,11,운송업,육상운송,11.1,99.9
2024,11,운송업,렌터카,11.1,0.1
2024,11,의료웰니스업,의료관광,1.3,14.0
2024,11,의료웰니스업,뷰티,1.3,86.0
