year,month,업종대분류명,업종중분류명,업종대분류 비율(%),업종중분류 비율(%)
2024,8,쇼핑업,레저용품쇼핑,42.1,2.9
2024,8,쇼핑업,기타관광쇼핑,42.1,34.1
2024,8,쇼핑업,대형쇼핑몰,42.1,63.1
2024,8,숙박업,호텔,0.7,8.2
2024,8,숙박업,캠핑장/펜션,0.7,5.9
2024,8,숙박업,기타숙박,0.7,85.9
2024,8,식음료업,일반외식업,32.5,81.0
2024,8,식음료업,제과음료업,32.5,19.0
2024,8,여가서비스업,관광유원시설,10.4,3.2
2024,8,여가서비스업,골프장,10.4,78.1
2024,8,여가서비스업,기타레저,10.4,12.5
2024,8,여가서비스업,문화서비스,10.4,6.3
2024,8,여행업,여행업,0.1,100.0
2024,8,운송업,렌터카,12.9,0.1
2024,8,운송업,육상운송,12.9,99.9
2024,8,의료웰니스업,의료관광,1.2,17.2
2024,8,의료웰니스업,뷰티,1.2,82.8
