year,month,업종대분류명,업종중분류명,업종대분류 비율(%),업종중분류 비율(%)
2024,2,쇼핑업,레저용품쇼핑,49.1,3.0
2024,2,쇼핑업,기타관광쇼핑,49.1,32.9
2024,2,쇼핑업,대형쇼핑몰,49.1,64.1
2024,2,숙박업,호텔,0.6,11.4
2024,2,숙박업,캠핑장/펜션,0.6,5.8
2024,2,숙박업,기타숙박,0.6,82.8
2024,2,식음료업,일반외식업,31.7,80.4
2024,2,식음료업,제과음료업,31.7,19.6
2024,2,여가서비스업,관광유원시설,5.3,4.5
2024,2,여가서비스업,골프장,5.3,57.5
2024,2,여가서비스업,기타레저,5.3,25.3
2024,2,여가서비스업,문화서비스,5.3,12.7
2024,2,여행업,여행업,0.1,100.0
2024,2,운송업,렌터카,11.5,0.1
2024,2,운송업,육상운송,11.5,99.9
2024,2,의료웰니스업,의료관광,1.6,14.2
2024,2,의료웰니스업,뷰티,1.6,85.8
