year,month,소비자 연령,비율(남성),비율(여성)
2024,8,80대,0.3,0.3
2024,8,70대,1.7,1.3
2024,8,60대,8.7,4.9
2024,8,50대,16.1,9.8
2024,8,40대,17.0,8.8
2024,8,30대,14.8,8.2
2024,8,20대,4.2,3.6
2024,8,10대,0.1,0.1
