year,month,소비자 연령,비율(남성),비율(여성)
2025,7,80대,0.4,0.4
2025,7,70대,2.2,1.4
2025,7,60대,9.8,5.4
2025,7,50대,17.0,10.1
2025,7,40대,17.8,8.4
2025,7,30대,13.3,6.9
2025,7,20대,3.6,3.0
2025,7,10대,0.1,0.1
