year,month,소비자 연령,비율(남성),비율(여성)
2024,7,80대,0.3,0.3
2024,7,70대,1.8,1.3
2024,7,60대,9.1,5.0
2024,7,50대,16.2,9.7
2024,7,40대,17.3,8.6
2024,7,30대,14.7,8.0
2024,7,20대,4.2,3.4
2024,7,10대,0.1,0.1
